candidate,spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
v2_d1_donchian,v2_d1_donchian,regime4h,NEUTRAL,39,-42862.339202209965,0.3333333333333333,0.4789448602697305
v2_d1_donchian,v2_d1_donchian,regime4h,RANGE,28,-24701.18025390183,0.2857142857142857,0.6757651075973352
v2_d1_donchian,v2_d1_donchian,regime4h,TREND,179,-42396.08113399579,0.31843575418994413,0.9018655345896479
v2_d1_donchian,v2_d1_donchian,month_dir,DOWN,48,41823.526825019,0.4166666666666667,1.4668994395534045
v2_d1_donchian,v2_d1_donchian,month_dir,FLAT,133,-144638.01084693818,0.24812030075187969,0.6054887407473363
v2_d1_donchian,v2_d1_donchian,month_dir,UP,65,-7145.116568188398,0.38461538461538464,0.9467818764294729
v2_d1_donchian,v2_d1_donchian,month_vol,HIGH_VOL,50,-11457.794208985555,0.32,0.9018302453770434
v2_d1_donchian,v2_d1_donchian,month_vol,LOW_VOL,196,-98501.806381122,0.3163265306122449,0.7920805503737871
v2_d1_tsmom,v2_d1_tsmom,regime4h,HIGH_VOL,16,-45988.74379427827,0.25,0.4907654249953732
v2_d1_tsmom,v2_d1_tsmom,regime4h,NEUTRAL,76,-229535.6042832397,0.27631578947368424,0.3768361262020985
v2_d1_tsmom,v2_d1_tsmom,regime4h,RANGE,85,3290.3153632701687,0.3411764705882353,1.0090502331697748
v2_d1_tsmom,v2_d1_tsmom,regime4h,TREND,186,239851.3250229152,0.3387096774193548,1.2614606932644652
v2_d1_tsmom,v2_d1_tsmom,month_dir,DOWN,67,-8991.897590252569,0.23880597014925373,0.9744686459095092
v2_d1_tsmom,v2_d1_tsmom,month_dir,FLAT,214,-145605.50103285775,0.32710280373831774,0.8594346933948571
v2_d1_tsmom,v2_d1_tsmom,month_dir,UP,82,122214.69093177775,0.3780487804878049,1.3476804801111497
v2_d1_tsmom,v2_d1_tsmom,month_vol,HIGH_VOL,104,-253320.17328467628,0.27884615384615385,0.45888202526459293
